runoff,PPTAVG_BASIN,DRAIN_SQKM.log,BAS_COMPACTNESS,T_AVG_BASIN,PET,ARTIFPATH_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,AWCAVE.log,PERMAVE.log,BDAVE,OMAVE.log,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,KFACT_UP,RFACT,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN.log,SLOPE_PCT.log,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS
852.3,130.78,4.672828834,1.82,6.56,563.3,1.11,45.7,2,1.7,11.24,2.93,91.01,4.15,-1.966112856,1.064710737,1.34,0.009950331,4.83,45.15,81.7,43.76,74.35,0.24,117.35,410.9,730,141,428,108.6,144,0.458,-0.719491156,2.610069793,117.5,-0.461,0.887
623.9,120.57,3.852273001,1.85,8.21,623,1.71,48,3,1.6,11.13,8.27,69.95,15.22,-2.040220829,1.735189118,1.33,-0.174353387,3.17,55.24,78.71,33.25,71.62,0.21,116.63,161.7,399,47,169,80,53,0.326,-1.058430499,2.116255515,92.2,-0.038,0.999
469,132.08,2.219203484,3.39,7.34,586.8,0,47.8,4,0,9.75,8.22,84.52,5.95,-2.207274913,1.704748092,1.41,0.371563556,3.28,54.95,77.67,30.84,69.64,0.2,124.7,312.3,397,224,317,41.6,225,0.51,-0.619896719,2.140066163,121.5,-0.523,0.852
483.2,128.97,3.496507561,2.01,7.18,580.2,6.02,47.7,3.2,0,11.35,4.73,92.44,1.04,-2.207274913,1.704748092,1.41,0.371563556,3.28,54.95,77.67,30.84,69.64,0.2,125.06,289.1,394,165,294,47.3,175,0.542,-0.574475651,2.219203484,198.7,-0.947,-0.321
469,124.52,0.470003629,2.51,7.94,601.5,0,48.2,3,0,9.61,8.77,72.52,0.67,-2.207274913,1.704748092,1.41,0.371563556,3.28,54.95,77.67,30.84,69.64,0.2,124.08,309.1,345,266,313,20.1,272,0.546,-0.519193873,1.589235205,113.1,-0.393,0.92
469,124.28,1.960094784,2.3,8.01,605.3,0,48.5,3,0,9.71,3.63,87.89,0.48,-2.207274913,1.704748092,1.41,0.371563556,3.28,54.95,77.67,30.84,69.64,0.2,125.44,276.1,345,165,281,37.5,173,0.617,-0.440056553,2.00148,87.6,0.041,0.999
477.6,121.28,3.56671182,2.47,8.81,639.5,4.14,54.1,3,0.7,10.47,7.87,75.03,2.89,-2.120263536,1.682688374,1.4,0.277631737,3.21,55.08,77.96,31.69,70.22,0.2,134.82,178.2,314,79,174,50.3,80,0.422,-0.906340401,1.945910149,295.5,0.43,-0.903
711,130.41,1.280933845,1.98,7.5,596.7,15.1,44.3,3,2,9.12,4.47,86.95,3.74,-2.040220829,0.641853886,1.45,0.518793793,3.05,51.5,82.66,42.72,75.13,0.2,129.13,323.5,397,190,332,41.1,190,0.645,-0.376877651,2.525728644,138,-0.743,0.669
710.4,143.51,5.495116943,1.57,7.33,596.7,4.07,43.4,2.8,2.7,10.99,4.84,87.99,1.8,-2.040220829,0.891998039,1.43,0.530628251,3.88,45.68,83,43.93,74.85,0.2,148.81,433.3,680,119,447,96,125,0.56,-0.536143432,2.415913778,96.3,-0.11,0.994
697.3,134.81,3.987130478,2.08,7.14,581.9,5.54,44.6,3,3.6,10.84,2.87,89.06,0.78,-2.040220829,1.011600912,1.43,0.593326845,4.05,44.38,81.47,42.32,74.13,0.21,148.42,391.2,500,175,394,48.1,219,0.665,-0.394525168,1.945910149,113.5,-0.398,0.917
698,132.83,2.949688335,1.96,7.54,592.5,1.47,45.8,3,2,11.44,2.37,91.7,2.33,-2.040220829,1.235471471,1.37,0.392042088,4.75,38.25,79.9,41.8,73.35,0.22,144.52,334.2,447,165,349,65.3,169,0.6,-0.427710717,2.533696814,168.9,-0.981,0.192
693.9,136.42,4.120661871,1.38,8.18,610.2,1.5,51.4,2.4,2,11.25,7.75,77.29,9.37,-2.040220829,1.519513205,1.4,1.137833002,3.73,55.11,78,36.73,71.82,0.21,144.95,255.9,359,154,258,45,167,0.497,-0.679244275,2.104134154,91.1,-0.019,1
697,135.68,2.360854001,2.41,8.24,612.1,0,52.7,3,0.6,10.43,9.57,64.04,17.65,-2.120263536,1.811562097,1.37,1.178654996,3.56,58.08,77.06,33.26,69.62,0.22,149.46,279.8,353,232,277,26.3,217,0.395,-0.988861425,1.435084525,36.3,0.806,0.592
679.1,130.37,5.60322522,1.69,9.04,635.6,5.68,52.6,4,2.3,12.54,11.36,64.28,6.84,-2.040220829,1.423108334,1.4,1.131402111,3.75,54.43,78.27,37.66,72.42,0.21,143.16,147.4,273,20,148,38.2,22,0.503,-0.68121861,1.791759469,177,-0.999,0.053
679,131.5,3.956996371,2.25,9.48,645.7,7.35,50,3.9,2.1,11.32,6.3,77.51,3.72,-2.040220829,1.472472057,1.41,1.068153081,4.2,51.46,77.85,37.56,72.16,0.21,156.5,123.3,195,14,127,35.4,14,0.604,-0.471604911,1.791759469,144.4,-0.813,0.582
680,130.85,4.062165664,1.32,9.52,647.2,4.9,49.7,3.9,2,11.66,8.07,70.45,8,-2.120263536,1.558144618,1.41,1.057790294,4.19,52.22,77.61,36.73,71.64,0.21,154.67,110.9,197,22,112,33.9,31,0.508,-0.665532014,1.62924054,186.3,-0.994,-0.109
723,127.65,2.694627181,1.49,9.95,657.6,0,47.6,4,1,11.67,12.02,75.79,3.03,-2.040220829,1.300191662,1.4,1.172482137,3.61,54.53,78.65,38.53,73.02,0.21,161.29,71.3,144,12,69,28.5,17,0.449,-0.839329691,1.410986974,145,-0.819,0.573
723,126.36,2.93385687,0.94,10.23,672.3,2.83,47.6,4,1,11.48,22.82,64.67,1.62,-2.120263536,1.834180185,1.4,0.955511445,4.38,53.73,76.55,33.77,69.7,0.21,158.04,49.3,126,3,47,30,7,0.377,-1.027222293,1.029619417,194.1,-0.97,-0.243
653.3,121.31,4.884315927,1.8,7.39,584.9,4.77,45.5,2.3,3.3,10.87,3.9,77.91,13.38,-2.120263536,0.982078472,1.45,0.824175443,4.43,43.93,68.38,42.72,62.41,0.26,125.84,359.1,625,211,350,90,211,0.358,-1.090644119,2.442347035,153.5,-0.895,0.446
667,122.97,2.197224577,2.21,8.06,606.5,0,49.1,2.2,2.2,9.99,4.61,79.69,5.51,-2.040220829,1.444563269,1.42,1.01523068,4.15,52.46,78.02,37.87,72.45,0.2,130.9,392.6,468,346,393,19.5,346,0.382,-0.954511945,1.85629799,64.6,0.428,0.904
667,131.49,4.249922794,1.85,8.98,635.7,5.23,46.9,2.4,2,11.23,7.59,71.23,16.72,-2.040220829,1.398716881,1.41,1.128171091,3.76,54.23,78.33,37.89,72.57,0.21,144.29,231.1,352,73,239,61.5,76,0.567,-0.519193873,2.186051277,145.3,-0.822,0.57
621,127.62,2.954910279,2.59,10.54,691.2,2.3,49.1,4,5.4,11.61,38.7,50.47,1.07,-2.120263536,1.86252854,1.39,1.033184483,4.07,55.86,76.6,33.11,69.38,0.21,162.38,69.7,122,17,72,23.7,23,0.502,-0.646263595,1.223775432,191.2,-0.981,-0.195
619.2,133.4,3.985273467,1.16,9.78,665.2,10.41,48.1,3.4,3.2,11.7,13.22,75.93,2.78,-2.040220829,1.501852702,1.41,1.08180517,4.14,52.22,77.82,37.25,72.01,0.21,157.45,174.5,299,88,172,35.3,93,0.41,-0.921303274,2.091864062,198.5,-0.948,-0.318
752.8,124.71,5.679148194,1.95,4.68,509.1,4.85,48.8,2.4,1,10.96,0.38,93.64,0,-1.897119985,0.841567186,1.31,0.672944473,4.09,42.2,80.98,40.83,73.05,0.21,100.23,606.2,1084,377,598,107,390,0.324,-1.161552088,2.850706502,190.8,-0.982,-0.188
710.6,122.72,4.720282993,2.59,6.48,554.6,0,47,1.4,0.7,10.73,5.29,81.3,11.47,-2.120263536,0.966983846,1.4,0.518793793,4.81,40.11,72.08,44.11,65.64,0.24,112.87,478.5,1061,188,455,172.7,194,0.333,-1.184170177,3.04927304,344.4,0.963,-0.269
713.3,117.04,4.948050419,2.25,6.87,571.4,0.83,47,1.4,0.9,10.69,3.74,85.82,8.41,-2.207274913,1.111857515,1.38,0.2390169,4.78,38.64,66.2,42.11,59.82,0.24,105.94,436.2,850,176,417,127.1,199,0.386,-1.027222293,2.970414466,267.7,-0.041,-0.999
784.6,143.65,6.413131035,1.14,3.88,482.6,14.59,53.6,2.7,1.1,11.39,0.48,83.74,0.02,-1.771956842,1.278152203,1.23,0.708035793,4.2,42.04,81.12,42.34,74.94,0.32,122.92,654.2,1095,383,669,112.6,383,0.381,-0.91130319,2.406945108,253.4,-0.286,-0.958
466.5,147.1,2.541601993,3.47,4.84,492.6,0,43,2,4.8,8.72,0.05,99.72,0,-2.302585093,0.246860078,1.38,-0.371063681,5.41,30.04,54.43,34.82,46.95,0.22,130.9,898.5,1229,625,892,145.2,627,0.453,-0.816445397,3.481240089,257.8,-0.211,-0.977
471.8,127.31,4.300002799,2.36,5.25,508.2,0,43.2,2.1,4.7,10.02,1.2,95.64,2.03,-2.207274913,0.343589704,1.36,-0.15082289,4.86,38.02,57.84,36.31,50.7,0.22,119.94,741.2,1229,420,723,169.2,420,0.397,-0.980829253,3.284663565,331.1,0.875,-0.484
470.2,131.54,1.648658626,3.22,5.79,524.7,0,40.5,2,2.1,9.57,0,100,0,-2.302585093,0.246860078,1.38,-0.494296322,5.65,26.47,52.69,33.93,45.03,0.21,104.3,858.5,1209,662,838,110.9,665,0.359,-1.133203733,3.222867846,311.3,0.66,-0.751
472.7,119.04,6.417548942,2.8,5.66,523.1,1.4,40.2,2.4,3.2,10.56,3.81,86.88,4.45,-2.302585093,0.463734016,1.37,0.086177696,4.4,42.72,58.3,36.33,51.41,0.23,105.84,652,1229,344,616,147.5,344,0.348,-1.180907531,2.912350665,190.2,-0.984,-0.177
473,101.86,4.428433007,2.98,6.03,539.8,0,35.8,2.3,2.7,10.52,2.96,81.05,9.79,-2.207274913,0.431782416,1.39,0.148420005,3.97,46.36,61.73,37.98,54.61,0.24,88.9,591.7,1044,391,581,99.4,391,0.307,-1.234432012,2.493205453,241.3,-0.48,-0.877
476.2,105.25,3.779633817,2.08,6.12,546.3,0,36.2,3,3,10.56,4.21,79.26,9.19,-2.120263536,0.223143551,1.33,0.494696242,4.44,39.65,66.17,42.68,57.65,0.25,92.68,572.4,850,322,583,77.4,324,0.474,-0.705219762,2.468099531,104.2,-0.246,0.969
394.2,103.83,5.532203014,2.48,6.55,559.3,3.92,34.8,1.7,3.1,10.35,3.61,78.55,11.46,-2.207274913,0.048790164,1.41,0.2390169,3.77,47.18,63.01,41.23,56.23,0.26,90.26,483.3,876,187,502,122.1,192,0.43,-0.783071888,2.57261223,102.9,-0.223,0.975
393.5,130.02,5.037601742,2.43,5.51,514.6,0.62,46.8,2.1,3.5,10.03,2.34,96.48,0.19,-2.302585093,0.350656872,1.4,-0.328504067,5.32,34.44,55.42,35.25,47.73,0.23,126.7,674.8,1128,311,669,163.6,312,0.445,-0.825536369,3.325036021,119.8,-0.496,0.868
395.3,130.61,5.131081447,2.07,5.53,515.3,0.58,46.8,2.1,3.4,9.97,2.18,96.69,0.19,-2.302585093,0.357674444,1.4,-0.328504067,5.33,34.29,55.37,35.2,47.68,0.23,127.41,675.5,1175,304,669,169.3,306,0.427,-0.869884359,3.33220451,79.4,0.184,0.983
394.2,142.33,3.974058396,3.42,5.79,521.6,0,48.4,2,4,9.87,0.71,98.97,0.03,-2.302585093,0.21511138,1.39,-0.430782916,5.55,29.63,53.79,34.7,46.07,0.22,146.19,641.3,1263,268,639,185.5,268,0.375,-0.986176859,3.465735903,45.9,0.696,0.718
390.2,148.58,4.384523515,3.4,5.44,513.1,0,43.9,2.2,4,9.91,1.23,97.81,0.07,-2.302585093,0.19062036,1.4,-0.400477567,5.51,31.14,54.3,35.08,46.55,0.23,131.69,682.6,1208,291,667,199,291,0.427,-0.891598119,3.490428515,189,-0.988,-0.156
389,135.16,3.765840495,2.58,7.36,582.1,8.91,47.6,2.1,3.5,10.2,2.16,90.62,1.51,-2.302585093,0.779324877,1.38,-0.040821995,5.24,34.52,58.76,37.05,51.21,0.24,140.21,378.7,774,207,350,112.6,211,0.303,-1.378326191,2.821378886,206.4,-0.896,-0.445
399,139.14,3.790984677,2.91,6.19,529.9,0,48.8,2,3.8,9.39,0.39,99.18,0,-2.302585093,0.277631737,1.35,-0.083381609,5.63,24.36,55.41,37.16,48,0.22,162.99,574.4,1164,212,564,192.3,212,0.381,-0.994252273,3.505557397,65,0.423,0.906
563.6,147.24,2.63905733,3.5,5.19,497.4,0,49.2,2,4,9.03,0,100,0,-2.302585093,0.246860078,1.38,-0.46203546,5.65,26.36,52.82,34.09,45.17,0.21,184.46,785.9,1163,517,757,145.5,519,0.416,-0.988861425,3.077312261,155.5,-0.91,0.415
572.5,137.98,4.601162165,2.58,5.87,529.1,0,49.7,2.1,4,10.15,0.54,98.13,0.78,-2.302585093,0.173953307,1.41,-0.385662481,5.43,32.32,54.9,35.39,47.14,0.23,159.35,628.8,1172,263,628,161.2,263,0.402,-0.91130319,3.18221184,178.3,-1,0.03
402.5,133.53,3.511545439,1.44,9.73,665.2,4.96,48,3.1,2.3,11.98,21.31,55.36,12.17,-1.966112856,1.547562509,1.35,1.916922612,3.7,53.42,78.81,37.57,72.91,0.22,155.9,195.1,299,103,190,35.4,104,0.47,-0.811930717,2.014903021,303.5,0.551,-0.834
494.6,121.19,5.360352757,2.02,5.74,522.8,1.75,44.8,2.6,4,10.48,2.35,91.39,4.16,-2.302585093,0.2390169,1.37,0.104360015,4.69,39.02,58.18,37.01,50.77,0.23,112.69,702.8,1178,407,677,142.6,409,0.384,-1.049822124,3.063390922,212.3,-0.846,-0.534
495.2,114.75,6.049969276,2.03,5.91,529.6,0.91,43.1,2.4,3.6,10.84,3.16,86.65,8.13,-2.302585093,0.246860078,1.38,0.173953307,4.71,40.2,58,36.97,50.58,0.24,105.35,666.3,1178,396,641,139.5,396,0.346,-1.161552088,3.020424886,172.6,-0.992,0.128
496,108.02,4.504244267,2.6,6.38,543.6,0,43.2,2.1,3,10.28,2.62,82.92,13.65,-2.302585093,0.165514438,1.4,0.536493371,4.68,41.3,58.03,37.38,50.52,0.24,95.38,647.3,1017,397,629,116.5,397,0.404,-0.983499482,3.015534901,160.1,-0.94,0.34
496,117.46,4.166665224,2.59,5.84,527.5,0,46.1,2.9,3.9,10.03,1.07,93.19,3.92,-2.302585093,0.207014169,1.38,-0.105360516,5.39,32.28,57.76,36.82,49.45,0.23,104.41,715.4,1134,395,707,142.5,395,0.434,-0.862749965,3.117949906,280.1,0.175,-0.985
496,112.86,4.449685283,2.58,6.51,549.6,1.13,44,2,2.3,10.57,2.36,77.84,17.34,-2.302585093,0.207014169,1.39,0.783901544,4.37,42.45,58.54,37.56,51.22,0.24,99.85,609.9,1017,393,605,96.6,395,0.348,-1.078809661,2.90690106,191.3,-0.981,-0.196
496,116.17,3.020424886,3.11,6.68,555.5,6.47,43.9,2,3,10.58,1.54,76.25,19.08,-2.407945609,0.086177696,1.43,-0.287682072,5.29,38.7,56.91,36.96,49.03,0.25,104.45,596.9,782,431,597,75.5,432,0.473,-0.74865989,2.917770732,188.5,-0.989,-0.148
496.6,128.48,5.361292166,1.96,5.86,526.2,4.92,45.9,2.6,3.7,10.56,0.74,95.2,1.27,-2.302585093,0.165514438,1.4,-0.210721031,5.37,34.04,56.7,36.46,48.67,0.23,121.03,718.1,1178,425,708,126.5,437,0.389,-0.978166136,2.944438979,207.1,-0.89,-0.455
501.7,135.75,5.088830142,2.06,6.15,537.2,6.67,47.8,3,4.2,10.78,1.2,89.25,1.25,-2.207274913,0.476234179,1.37,0.300104592,3.58,50.53,61.8,37.85,55.29,0.24,138.62,668.2,1026,435,662,93.1,435,0.395,-0.957112726,2.48490665,175.2,-0.996,0.084
495.5,109.01,3.618993327,3.35,5.93,531.4,0,38.3,2.6,2.6,10.46,1.93,64.37,32.62,-2.207274913,0.182321557,1.36,0.198850859,4.07,48.13,60.94,38.58,54.3,0.24,99.85,684.1,981,510,664,100.7,515,0.37,-1.117795108,2.879198457,239.7,-0.504,-0.864
496,112.19,1.16315081,3.04,6.22,538.1,0,42,2,1.5,9.14,0.45,99.35,0,-2.407945609,0.086177696,1.43,-0.287682072,5.29,38.7,56.91,36.96,49.03,0.25,97.1,771.8,1017,609,772,83.2,609,0.399,-0.916290732,3.139832618,327.4,0.843,-0.538
496,111.66,4.85903691,2.21,6.47,547.9,2.54,42.8,2,2.8,10.73,2.84,74.85,19.49,-2.302585093,0.131028262,1.4,0.157003749,4.65,42.72,58.07,37.43,50.77,0.24,98.83,641.5,1017,426,640,86.6,427,0.365,-1.016111067,2.821378886,204.6,-0.909,-0.416
496,116.23,0.530628251,3.76,6.63,553.7,0,43,2,2.1,9.16,3.35,66.23,26.9,-2.120263536,0.223143551,1.3,0.657520003,2.66,56.4,61.63,38.91,56.33,0.24,104.84,608.3,681,532,615,29.6,540,0.512,-0.585190039,2.219203484,242.8,-0.457,-0.889
497.3,117.59,4.157319361,2.04,6.84,562,0.61,42.6,2,2.2,11.49,2.97,63.04,31.24,-2.207274913,0.231111721,1.36,0.463734016,3.72,49.11,59.8,38.01,53.4,0.24,105.83,561.4,739,373,573,66.1,383,0.515,-0.605136303,2.660259537,201.3,-0.932,-0.363
496.9,112.01,6.756583491,1.54,6.64,554.8,0.94,42.1,2.2,2.6,10.88,3.78,66.1,27.14,-2.302585093,0.482426149,1.39,0.262364264,4.35,45.31,59.08,36.89,51.98,0.24,100.15,591.6,1017,360,596,92.8,366,0.352,-1.02443289,2.753660712,190.2,-0.984,-0.178
496.6,114.89,3.966511191,2.8,7.12,571.1,0,40.9,2,2.3,10.78,5.01,69.32,20.83,-2.120263536,0.157003749,1.36,0.500775288,2.89,54.93,63.9,40.67,57.71,0.24,101.53,528.8,669,355,539,63,356,0.554,-0.534435489,2.587764035,178.5,-1,0.027
630.3,164.63,3.152736022,3.08,4.83,489.2,0,49,2,4,9.8,0,99.99,0,-2.302585093,0.21511138,1.39,-0.430782916,5.56,29.38,53.69,34.65,45.98,0.22,198.02,899.5,1263,654,899,126,666,0.403,-0.91130319,3.173878459,216.1,-0.808,-0.589
632.4,153.66,4.085976313,1.89,5.16,501.3,0,49.1,2.2,4,10.56,0.54,99.38,0.06,-2.302585093,0.182321557,1.4,-0.385662481,5.49,32,54.6,35.3,46.83,0.23,177.22,797.2,1263,524,775,137.3,524,0.37,-1.078809661,3.010620886,203.8,-0.915,-0.403
561.6,174.82,0.78845736,3.42,4.73,483.5,0,48.9,2,4,8.55,0.08,99.92,0,-2.302585093,0.246860078,1.38,-0.494296322,5.65,26.47,52.69,33.93,45.03,0.21,210.81,1029.7,1228,810,1039,90.9,829,0.526,-0.601479992,3.238678452,289.5,0.333,-0.943
634.4,160.13,2.272125886,3.34,4.7,486.6,0,47.9,2,4,9.54,0,99.76,0,-2.302585093,0.19062036,1.4,-0.400477567,5.51,31.2,54.32,35.1,46.57,0.23,166.42,870.1,1108,625,873,112.7,635,0.507,-0.667479434,3.148453361,180.2,-1,-0.003
632,152.02,5.150397236,2.35,5.16,502.5,0,48.6,2.4,4.1,10.48,0.6,98.32,0.23,-2.302585093,0.165514438,1.41,-0.342490309,5.41,33.68,55.16,35.68,47.41,0.23,169.99,769.1,1263,467,752,140.3,467,0.379,-1.027222293,2.985681938,185.2,-0.996,-0.091
636.7,121.66,5.723258251,1.62,8.03,598.6,9.11,48,3.1,6.8,11.92,4.57,81.33,0.04,-2.207274913,0.518793793,1.44,-0.105360516,2.7,56.34,71.03,42.41,63.62,0.23,136.93,387,619,130,393,70.8,130,0.526,-0.619896719,1.791759469,147.7,-0.846,0.534
634.2,120.98,4.127134385,1.71,8.71,629.4,5.26,47.4,2,2.9,10.79,0.97,86.37,0.24,-2.207274913,0.593326845,1.39,0.470003629,3.32,50.98,67.29,38.48,59.08,0.21,141.44,330.2,501,165,339,64.1,165,0.492,-0.657780037,2.079441542,243,-0.455,-0.891
636,120.09,5.122176669,1.44,8.92,637,4.92,49.8,2.1,2.6,11.2,3.17,78.6,6.18,-2.207274913,1.068153081,1.39,0.989541194,3.46,52.3,68.96,37.84,60.7,0.22,142.37,274.4,501,107,275,84.3,109,0.425,-0.853315933,2.240709689,270.5,0.009,-1
636.4,130.06,5.165928179,1.81,7.99,596,8.27,49.7,2.7,8,11.01,5.69,81.17,0.99,-2.207274913,0.157003749,1.46,-0.139262067,2.92,53.29,69.72,43,61.82,0.24,139.31,420,664,181,401,106.2,178,0.495,-0.78745786,2.028148247,130.4,-0.648,0.761
731,137.35,1.840549633,3.31,7.06,563.9,0,56,3,4.3,9.93,1.94,97.9,0,-2.207274913,0.506817602,1.34,-1.139434283,4.01,47.48,72.41,42.79,64.07,0.2,162.05,574,673,510,575,25,510,0.393,-0.918793862,1.774952351,256.3,-0.237,-0.971
552,121.53,4.997887721,2.04,10.19,680.6,1.39,50.2,3,4,11.2,8.47,45.25,35.15,-1.966112856,0.425267735,1.38,-0.693147181,5.04,60.29,84.96,62.06,81.1,0.33,157.75,198.1,367,82,206,70.2,82,0.407,-0.832409248,2.054123734,181.1,-1,-0.019
573,107.25,5.025195445,1.42,7.12,574.6,1.16,46.4,2.8,2.5,11.4,4.3,54.62,32.39,-2.040220829,0.678033543,1.33,0.770108222,3.02,47.81,67.4,47.62,61.06,0.26,89.62,478,648,332,483,58.2,336,0.462,-0.738144546,2.2300144,182.3,-0.999,-0.04
573.9,107.55,7.205041088,1.39,7.1,576.4,0.57,46.7,2.6,2.5,11.36,2.74,47.42,35.41,-2.120263536,0.871293366,1.39,0.559615788,3.37,51.23,66.31,44.41,60.18,0.26,89.38,452,648,299,459,62.4,300,0.438,-0.780886095,2.186051277,164.6,-0.964,0.265
580,107.29,5.015291106,2.17,6.9,569.5,2.96,43.7,2.3,2.1,11.3,2.76,67.08,21.86,-2.040220829,0.350656872,1.32,0.783901544,2.92,48.32,67.82,48.44,61.32,0.25,90.74,500.4,610,329,511,59.7,370,0.61,-0.433864583,2.151762203,144,-0.809,0.588
580,107.74,5.948034989,1.41,6.8,569.1,0.51,46.6,2.1,3.2,11.49,2.75,62.06,23.64,-2.040220829,0.722705983,1.33,0.722705983,3.08,49.27,66.75,46.8,60.45,0.25,90.95,483.3,650,312,490,66.5,312,0.507,-0.64055473,2.379546134,169.6,-0.984,0.18
580,107.86,6.339123973,1.18,6.97,574.9,1.08,46.1,2.3,3.5,11.33,2.82,62.19,26.26,-2.040220829,0.727548607,1.33,0.722705983,3.07,49.19,66.93,46.91,60.66,0.26,90.93,465.8,650,298,469,69.8,302,0.477,-0.721546655,2.282382386,176.4,-0.998,0.063
426,101.5,6.175243375,1.82,7.34,586.5,0.47,45.2,2.1,5.3,11.27,3.14,63.48,25.72,-2.040220829,0.693147181,1.33,0.751416089,3.1,48.27,67.21,47.3,60.92,0.26,83.64,426.2,648,251,426,73.7,254,0.441,-0.818710404,2.406945108,179.1,-1,0.016
380,93.82,3.449987546,2.28,7.59,584.9,0,35,2,2.4,10.8,5.43,45.84,47.84,-2.120263536,0.104360015,1.4,0.270027137,2.93,51.63,69.76,46.26,61.78,0.24,79.83,536,746,408,515,79.3,410,0.379,-1.148853505,2.442347035,286.3,0.28,-0.96
389.2,95.88,3.269568939,2.14,7.54,584.2,0,34.6,2,3.9,10.81,4.52,53.32,41.72,-2.207274913,0.029558802,1.44,-0.051293294,3.01,51.79,69.41,44.5,60.91,0.24,82.33,550.7,737,423,533,73.8,427,0.407,-1.049822124,2.48490665,289.9,0.341,-0.94
381.8,96.17,5.454893674,1.58,6.68,551.4,1.73,35.5,2,4.2,11.19,3.4,53.57,38.36,-2.120263536,0.254642218,1.37,0.405465108,3.39,49.56,67.87,45.82,60.09,0.24,81.51,597.8,779,408,606,67.1,408,0.512,-0.62735944,2.624668592,128.6,-0.625,0.781
380,87.49,5.567962752,1.81,7.3,575.1,0.32,34.4,1.9,4,11.19,3.83,50.07,42.56,-1.966112856,0.2390169,1.32,0.841567186,2.83,46.66,68.53,49.34,61.95,0.26,72.02,520.7,722,329,517,67.7,332,0.488,-0.738144546,2.32238772,130.2,-0.645,0.764
380,87.56,5.687653093,1.95,7.33,576.3,0.58,34.3,1.9,3.9,11.19,3.73,50.13,42.62,-1.966112856,0.2390169,1.32,0.841567186,2.83,46.69,68.53,49.35,61.95,0.26,72.11,516.6,722,320,513,67.3,320,0.489,-0.733969175,2.32238772,120.8,-0.512,0.859
376.5,92.56,4.957937505,1.63,6.97,571.1,0.87,42.5,1.8,1.5,11.33,4.82,38.94,42.36,-2.040220829,1.00063188,1.3,1.574846468,3.19,53.96,66.08,44.51,59.88,0.25,74.75,504.8,683,386,508,72.8,394,0.4,-0.889162064,2.468099531,200.5,-0.937,-0.351
371.8,91.79,6.021993752,1.51,6.92,566.6,0.48,41.4,1.7,1.7,11.22,4.39,46.11,40.05,-2.040220829,0.858661619,1.32,1.047318994,3.23,53.11,65.63,44.86,59.42,0.25,74.47,518.8,683,356,528,70.6,361,0.498,-0.642454066,2.501435952,167.6,-0.977,0.215
371.5,93.82,5.164214382,1.52,7.07,571.3,0.97,43.7,2,1.7,11.55,3.56,52.58,32.33,-2.040220829,1.022450928,1.34,0.91228271,3.25,50.56,65.81,45.02,59.71,0.26,73.67,483.8,664,351,482,63.5,355,0.424,-0.869884359,2.028148247,126.8,-0.6,0.8
506.6,99.95,6.316984165,1.9,7.73,590.2,1.62,36.5,1.3,3.8,11.04,3.29,64.88,27.14,-2.207274913,0.048790164,1.43,0.076961041,2.98,51.43,69.19,44.58,61.05,0.24,86.43,487.1,746,236,466,117.4,236,0.492,-0.796287939,2.415913778,105.4,-0.265,0.964
609.4,109.92,2.610069793,2.02,7.56,580.8,0,38.6,2.2,1.5,11.62,0.43,95.47,0.95,-2.302585093,1.124929597,1.44,-0.634878272,4.08,52.93,76.48,48.3,65.48,0.25,101.43,561.3,734,385,569,65.3,385,0.505,-0.64055473,2.990719732,200.7,-0.935,-0.354
609.4,110.32,6.558906771,1.47,7.76,587.7,0.73,39.3,3,2.6,11.97,1.59,89.48,2.73,-2.302585093,1.043804052,1.44,-0.653926467,3.91,53.21,76.09,47.71,64.47,0.24,102.94,529.9,744,268,538,85.3,275,0.55,-0.567395975,3.020424886,171.8,-0.99,0.142
609.6,109.6,7.483413131,1.39,7.93,593.1,3.77,40.3,3.2,2.5,11.94,1.48,89.18,2.76,-2.302585093,1.111857515,1.43,-0.653926467,3.87,52.3,76.45,48.32,65.55,0.24,105.42,521.9,744,231,529,90.4,231,0.567,-0.543004522,2.90690106,178.4,-1,0.029
589.3,106.34,5.87239944,2.22,7.23,570.7,0,39.7,1.9,1.5,11.66,0.9,88.33,6.84,-2.207274913,1.388791241,1.4,-0.634878272,4.15,51.29,76.69,47.26,66.46,0.24,94.53,576.2,759,313,590,85.6,315,0.59,-0.476424197,3.04927304,180.6,-1,-0.011
588.5,105.66,4.787491743,2.07,7.39,575.6,0,42.5,2,0.9,11.65,0.37,96.97,0.59,-2.302585093,1.947337701,1.38,-0.527632742,4.76,45.97,71.28,39.36,60.72,0.19,102.4,554.7,690,239,583,83.2,239,0.7,-0.270497248,2.90690106,198,-0.951,-0.309
548,97.36,7.350516172,1.3,6.98,561.7,0.98,38,1.8,2.8,11.45,2.08,80.49,10.95,-2.207274913,0.698134722,1.39,0.058268908,3.81,48.28,69.4,45.38,60.61,0.24,84.11,571.2,787,238,571,100.4,239,0.607,-0.499226488,2.833213344,159.8,-0.939,0.345
